                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3174,                0.55377,                0.81341,                0.92579,                0.84103,                0.94171,                0.62043,                  1.336,                0.64572,                0.79058,               0.070238,              0.0033069,              0.0033069
                      1,                 1.3945,                0.58391,                0.82211,                0.93285,                 0.8427,                0.92545,                0.59782,                 1.2634,                0.65616,                0.79358,               0.040107,              0.0065087,              0.0065087
                      2,                 1.4522,                0.66737,                0.82782,                0.94607,                0.78847,                0.90309,                0.55641,                 1.3755,                0.71875,                0.80144,              0.0098431,              0.0095786,              0.0095786
                      3,                 1.4992,                0.72764,                0.83745,                0.85282,                0.69663,                0.80319,                0.51912,                 1.3589,                0.95115,                0.80447,               0.009406,               0.009406,               0.009406
                      4,                 1.6399,                0.82575,                0.84082,                0.95771,                0.76336,                0.88665,                0.49936,                 1.4364,                0.81031,                 0.8083,               0.009406,               0.009406,               0.009406
                      5,                   1.63,                0.81226,                0.85293,                0.88055,                0.73034,                0.85359,                 0.4854,                 1.6233,                 1.2062,                 0.8118,               0.009208,               0.009208,               0.009208
                      6,                 1.6037,                0.79426,                0.83916,                0.92631,                0.77528,                0.85404,                0.45608,                 1.6189,                0.92962,                0.80502,                0.00901,                0.00901,                0.00901
                      7,                 1.5577,                0.78923,                0.84449,                0.91727,                0.78652,                 0.8979,                0.51181,                 1.4605,                0.74985,                0.80338,               0.008812,               0.008812,               0.008812
                      8,                 1.4737,                0.73025,                0.82954,                0.90249,                  0.832,                0.92623,                0.59383,                 1.2855,                 0.6873,                0.80923,               0.008614,               0.008614,               0.008614
                      9,                 1.4999,                0.73252,                 0.8252,                0.97256,                0.79657,                0.89444,                0.55352,                 1.4095,                0.77001,                0.79932,               0.008416,               0.008416,               0.008416
                     10,                 1.4797,                0.71188,                0.83264,                0.89658,                0.77932,                0.84622,                0.54812,                 1.3155,                0.78034,                0.79889,               0.008218,               0.008218,               0.008218
                     11,                  1.478,                0.71776,                0.82684,                0.83419,                 0.8427,                0.88605,                0.48585,                 1.5827,                0.67705,                0.79485,                0.00802,                0.00802,                0.00802
                     12,                 1.4589,                0.72981,                0.82568,                0.85746,                 0.8427,                0.90729,                0.56212,                 1.3417,                0.68371,                0.79659,               0.007822,               0.007822,               0.007822
                     13,                 1.5256,                0.75769,                0.82878,                0.92506,                0.83146,                0.89925,                0.58369,                 1.2875,                0.66061,                0.79961,               0.007624,               0.007624,               0.007624
                     14,                 1.4676,                0.66992,                0.83251,                0.95872,                0.78652,                0.87257,                0.51639,                 1.4151,                0.73496,                0.80496,               0.007426,               0.007426,               0.007426
                     15,                 1.4265,                 0.7076,                0.83737,                0.91157,                0.75281,                0.87468,                0.53829,                 1.4128,                0.87476,                0.80007,               0.007228,               0.007228,               0.007228
                     16,                 1.4211,                0.65914,                0.82901,                0.92643,                0.82022,                0.90262,                 0.5654,                 1.3684,                0.72614,                0.79478,                0.00703,                0.00703,                0.00703
                     17,                 1.4121,                0.64599,                0.82981,                 0.9307,                0.79775,                0.90228,                0.58725,                  1.288,                0.67559,                0.79872,               0.006832,               0.006832,               0.006832
                     18,                 1.3694,                0.61749,                0.82418,                0.95698,                0.82022,                0.89478,                0.56018,                 1.3482,                0.67106,                0.79635,               0.006634,               0.006634,               0.006634
                     19,                 1.3475,                0.60967,                0.83031,                0.94727,                 0.8427,                0.90974,                0.60618,                 1.2167,                0.64504,                0.78895,               0.006436,               0.006436,               0.006436
                     20,                 1.3704,                0.61321,                0.81767,                0.92806,                0.82022,                0.89529,                0.59072,                 1.2224,                 0.6539,                0.78661,               0.006238,               0.006238,               0.006238
                     21,                 1.3503,                0.61446,                0.82319,                0.92469,                 0.8427,                0.92653,                0.61529,                 1.2452,                 0.7098,                0.79841,                0.00604,                0.00604,                0.00604
                     22,                 1.3194,                0.60993,                0.81101,                0.94692,                 0.8427,                0.91662,                0.57911,                 1.2761,                0.64555,                0.79072,               0.005842,               0.005842,               0.005842
                     23,                 1.3034,                0.61264,                0.80411,                0.92659,                0.86517,                0.93289,                0.63526,                 1.1411,                0.69832,                0.78745,               0.005644,               0.005644,               0.005644
                     24,                 1.2956,                 0.5603,                0.81621,                0.94626,                0.85393,                0.91343,                0.63449,                 1.1577,                0.70902,                0.78491,               0.005446,               0.005446,               0.005446
                     25,                 1.2955,                0.57878,                0.82132,                0.97164,                0.83146,                 0.9297,                0.60163,                 1.3099,                0.63374,                0.78739,               0.005248,               0.005248,               0.005248
                     26,                 1.2606,                0.56306,                0.81365,                 0.9255,                0.83753,                0.93728,                 0.6276,                 1.2723,                0.61113,                0.78568,                0.00505,                0.00505,                0.00505
                     27,                 1.2666,                0.59105,                0.81814,                0.96287,                0.87411,                0.94845,                0.64045,                 1.1152,                0.55883,                0.78443,               0.004852,               0.004852,               0.004852
                     28,                  1.208,                0.53843,                0.81452,                0.96329,                0.88443,                0.93226,                0.60324,                 1.1782,                0.60568,                0.78807,               0.004654,               0.004654,               0.004654
                     29,                 1.2019,                0.54304,                  0.807,                0.94905,                0.83725,                0.92592,                0.65075,                 1.0985,                0.65128,                0.78524,               0.004456,               0.004456,               0.004456
                     30,                 1.2239,                0.54815,                 0.8133,                0.94982,                0.85393,                0.93375,                0.65229,                 1.1308,                0.62985,                0.78691,               0.004258,               0.004258,               0.004258
                     31,                 1.1977,                0.54646,                0.80804,                0.93859,                0.85393,                0.94727,                0.65382,                 1.1649,                0.57911,                0.78244,                0.00406,                0.00406,                0.00406
                     32,                  1.151,                0.54239,                0.80551,                0.98627,                0.80729,                0.91878,                0.63673,                 1.2083,                0.59849,                0.78584,               0.003862,               0.003862,               0.003862
                     33,                 1.1825,                0.54525,                0.81312,                0.97264,                0.83146,                0.93609,                0.64911,                 1.1651,                0.59089,                0.78939,               0.003664,               0.003664,               0.003664
                     34,                 1.1578,                0.51396,                0.80686,                0.97354,                0.82672,                0.94034,                0.65742,                 1.1737,                0.56067,                0.78312,               0.003466,               0.003466,               0.003466
