                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1411,                0.50058,                0.80471,                0.92838,                0.85393,                0.93567,                0.63978,                 1.1752,                0.54148,                0.78117,               0.003268,               0.003268,               0.003268
                     36,                 1.1526,                0.50011,                0.81119,                0.96894,                0.80899,                0.92548,                0.65059,                 1.0673,                0.56753,                0.77889,                0.00307,                0.00307,                0.00307
                     37,                 1.1268,                0.48157,                0.81618,                0.94924,                0.84043,                0.95426,                0.67187,                 1.1098,                0.54807,                0.78158,               0.002872,               0.002872,               0.002872
                     38,                 1.1434,                0.50213,                0.80385,                0.95612,                 0.8427,                0.94622,                 0.6761,                 1.0987,                 0.6108,                0.78056,               0.002674,               0.002674,               0.002674
                     39,                 1.0942,                0.47264,                0.79433,                0.96123,                0.85393,                0.94732,                0.68933,                0.98773,                0.55922,                0.77593,               0.002476,               0.002476,               0.002476
                     40,                 1.1344,                0.51808,                0.79931,                0.96165,                0.84537,                0.93156,                 0.6745,                 1.0624,                0.59569,                0.78062,               0.002278,               0.002278,               0.002278
                     41,                 1.1102,                0.47444,                0.80136,                0.97021,                 0.8427,                0.94205,                0.67978,                 1.0716,                0.62091,                0.77945,                0.00208,                0.00208,                0.00208
                     42,                  1.071,                  0.462,                0.80469,                0.96147,                0.84109,                0.93693,                0.67347,                 1.0883,                0.60699,                 0.7789,               0.001882,               0.001882,               0.001882
                     43,                 1.0719,                0.46907,                0.79598,                0.96179,                0.84844,                0.94025,                 0.6823,                 1.0694,                0.60482,                0.77954,               0.001684,               0.001684,               0.001684
                     44,                  1.047,                0.45043,                0.80244,                0.95051,                0.86517,                0.93724,                0.68105,                 1.0505,                0.55841,                0.77803,               0.001486,               0.001486,               0.001486
                     45,                 1.0322,                0.44989,                0.79806,                0.93943,                0.87137,                0.92801,                0.67124,                 1.0673,                0.55331,                 0.7776,               0.001288,               0.001288,               0.001288
                     46,                 1.0348,                0.44024,                0.79133,                0.97462,                0.86299,                0.94368,                0.67677,                 1.0699,                0.55416,                0.77484,                0.00109,                0.00109,                0.00109
                     47,                 1.0156,                0.44682,                0.79557,                0.94031,                0.85393,                0.93693,                0.68393,                 1.0373,                0.52916,                 0.7759,               0.000892,               0.000892,               0.000892
                     48,                0.99079,                0.42897,                0.79839,                0.96234,                0.86146,                0.93758,                0.67237,                 1.0871,                0.54527,                0.77761,               0.000694,               0.000694,               0.000694
                     49,                0.95373,                0.42261,                0.79293,                0.96169,                0.84616,                0.93839,                0.69251,                 1.0475,                0.54277,                 0.7778,               0.000496,               0.000496,               0.000496
