frame,box_num,x1,y1,x2,y2,x_center,y_center
75,1.0,894.4034291143003,468.5864058784817,911.4991587763247,493.17229163128394,902.9512939453125,480.8793487548828
76,1.0,894.1828480596128,454.809382563052,911.2785777216372,479.39526831585425,902.730712890625,467.1023254394531
78,2.0,898.8670826787534,430.1363784126614,915.9628123407779,454.7222641654636,907.4149475097656,442.4293212890625
79,1.0,896.4391957158628,421.3783065132473,913.5349253778872,445.96419226604957,904.987060546875,433.67124938964844
80,1.0,897.235155188519,411.9323836616848,914.3308848505435,436.51826941448707,905.7830200195312,424.22532653808594
81,1.0,898.2566090459409,402.3383895210598,915.3523387079654,426.92427527386207,906.8044738769531,414.63133239746094
82,1.0,899.3201771611753,394.5704604439114,916.4159068231997,419.1563461967136,907.8680419921875,406.8634033203125
85,1.0,907.6842213506284,380.1129714302395,924.7799510126529,404.69885718304175,916.2320861816406,392.4059143066406
86,1.0,908.501268469769,375.516657953677,925.5969981317935,400.10254370647925,917.0491333007812,387.8096008300781
87,1.0,910.372606360394,372.290095453677,927.4683360224185,396.87598120647925,918.9204711914062,384.5830383300781
88,1.0,912.3354054326596,369.7167006782864,929.4311350946841,394.3025864310886,920.8832702636719,382.0096435546875
89,1.0,914.4694081182065,367.41991723102075,931.565137780231,392.005802983823,923.0172729492188,379.7128601074219
90,1.0,916.7796498174253,367.3403579048489,933.8753794794497,391.9262436576511,925.3275146484375,379.63330078125
91,1.0,919.6044178838315,366.708552484927,936.700147545856,391.29443823772925,928.1522827148438,379.0014953613281
92,1.0,921.2613392705501,366.9606734566067,938.3570689325746,391.54655920940894,929.8092041015624,379.2536163330078
96,1.0,935.1141835088315,375.5370742134426,952.209913170856,400.1229599662449,943.6620483398438,387.83001708984375
97,1.0,937.5701771611753,377.9383193306302,954.6659068231997,402.52420508343243,946.1180419921875,390.2312622070313
98,1.0,940.5276966924253,382.01745141070825,957.6234263544497,406.6033371635105,949.0755615234375,394.3103942871094
99,1.0,944.283006751019,387.65856469195825,961.3787364130435,412.2444504447605,952.8308715820312,399.9515075683594
100,1.0,946.4892445439878,394.7753249458645,963.5849742060122,419.36121069866675,955.037109375,407.0682678222656
102,1.0,957.6473255986753,407.656062250552,974.7430552606997,432.24194800335425,966.1951904296875,419.9490051269531
103,1.0,960.3311329717221,414.5079909614895,977.4268626337466,439.09387671429175,968.8789978027344,426.8009338378906
104,1.0,963.3952198857846,420.0915786079739,980.4909495478091,444.6774643607761,971.9430847167969,432.384521484375
77,,895.341593296426,441.78313265322066,912.4373229584505,466.3690184060229,903.8894581274383,454.0760755296218
83,,902.5825162488786,391.44353196252854,919.6782459109031,416.0294177153308,911.1303810798909,403.73647483892967
84,,904.2376117114032,385.63255369756206,921.3333413734277,410.2184394503643,912.7854765424155,397.9254965739632
93,,924.8970062084732,366.491744529063,941.9927358704977,391.07763028186525,933.4448710394854,378.7846874054641
94,,927.8328873008528,368.04920964547415,944.9286169628773,392.6350953982764,936.380752131865,380.3421525218753
95,,930.896846956218,370.3435191000231,947.9925766182425,394.92940485282537,939.4447117872303,382.63646197642424
101,,951.9702547111051,399.5831069282099,969.0659843731296,424.1689926810121,960.5181195421173,411.876049804611
