,frame,x1,y1,x2,y2,x_center,y_center
0,86,556.1583190917969,411.9681335449219,585.2622131347656,439.1374877929687,570.7102661132812,425.5528106689453
1,87,576.6393676757813,410.36802062988284,605.74326171875,437.53737487792966,591.1913146972656,423.95269775390625
2,88,601.1835876464844,409.8356414794922,630.2874816894531,437.00499572753904,615.7355346679688,423.4203186035156
3,89,624.2530456542969,405.29847106933596,653.3569396972656,432.4678253173828,638.8049926757812,418.8831481933594
4,90,648.4388671875,402.8139129638672,677.5427612304687,429.98326721191404,662.9908142089844,416.3985900878906
5,91,669.5393920898438,401.5646148681641,698.6432861328125,428.7339691162109,684.0913391113281,415.1492919921875
6,92,691.8621459960938,399.92014465332034,720.9660400390625,427.08949890136716,706.4140930175781,413.50482177734375
7,93,713.6228576660156,398.8119140625,742.7267517089844,425.98126831054685,728.1748046875,412.39659118652344
8,94,733.50234375,397.7729125976563,762.6062377929687,424.9422668457031,748.0542907714844,411.3575897216797
9,95,755.2007995605469,397.7265106201172,784.3046936035156,424.89586486816404,769.7527465820312,411.3111877441406
10,96,774.447412109375,399.4825836181641,803.5513061523437,426.6519378662109,788.9993591308594,413.0672607421875
11,97,793.4941345214844,399.73288879394534,822.5980285644531,426.90224304199216,808.0460815429688,413.31756591796875
12,98,813.1243225097656,399.6265045166016,842.2282165527344,426.7958587646484,827.67626953125,413.211181640625
13,99,831.1469970703125,400.2691131591797,860.2508911132812,427.43846740722654,845.6989440917969,413.8537902832031
14,100,848.1687561035156,401.52036437988284,877.2726501464844,428.68971862792966,862.720703125,415.10504150390625
15,85,529.4463329273291,416.52423457889665,558.5502269702978,443.6935888269435,543.9982799488134,430.10891170292007
16,101,866.519219367061,403.5611904940755,895.6231134100298,430.73054474212233,881.0711663885454,417.1458676180989
17,102,883.5602571089213,405.5992241660307,912.66415115189,432.7685784140775,898.1122041304056,419.1839012900541
18,103,900.1276457142386,407.97234300589855,929.2315397572073,435.1416972539454,914.679592735723,421.55702012992197
19,104,916.2213851830121,410.68054701367885,945.3252792259808,437.8499012617257,930.7733322044965,424.26522413770226
20,105,931.84147551524,413.72383618937204,960.9453695582087,440.89319043741887,946.3934225367243,427.30851331339545
21,106,946.9879167109258,417.10221053297744,976.0918107538945,444.27156478102427,961.5398637324101,430.68688765700085
22,107,961.6607087700678,420.8156700444953,990.7646028130365,447.9850242925421,976.2126557915522,434.4003471685187
23,108,975.8598516926642,424.8642147239258,1004.9637457356329,452.0335689719726,990.4117987141485,438.4488918479492
24,109,989.5853454787185,429.24784457126873,1018.6892395216872,456.41719881931556,1004.1372925002029,442.83252169529214
