index,x1,y1,x2,y2,confidence
"(23, 'box_1')",993.024169921875,401.7975158691406,1002.94189453125,417.9713134765625,0.3347759246826172
"(24, 'box_1')",993.5952758789062,401.68463134765625,1003.6920776367188,417.92864990234375,0.3623141646385193
"(26, 'box_1')",993.9371337890625,403.62799072265625,1004.07568359375,418.83599853515625,0.2501099109649658
"(28, 'box_1')",993.8567504882812,404.24029541015625,1004.0092163085938,419.0423583984375,0.26737070083618164
"(76, 'box_1')",968.2115478515625,429.1665344238281,977.8740234375,444.9560852050781,0.30838850140571594
"(76, 'box_2')",1039.3238525390625,546.4347534179688,1052.08447265625,570.4332885742188,0.3056773543357849
"(77, 'box_1')",1035.924072265625,533.5799560546875,1048.49853515625,556.968017578125,0.7256642580032349
"(81, 'box_1')",1018.2064819335938,487.4322509765625,1030.217041015625,507.62384033203125,0.6246790289878845
"(82, 'box_1')",1013.6134643554688,479.0154724121094,1025.275390625,500.7323303222656,0.6509721875190735
"(83, 'box_1')",1009.7114868164062,471.3108215332031,1022.0136108398438,493.8386535644531,0.7557682991027832
"(87, 'box_1')",991.4798583984375,445.4695129394531,1002.4934692382812,462.8608703613281,0.7744511961936951
"(88, 'box_1')",987.392822265625,441.4197998046875,998.5703125,459.65087890625,0.7563347816467285
"(92, 'box_1')",969.4710083007812,427.8492126464844,979.8785400390625,442.8016052246094,0.30160021781921387
"(93, 'box_1')",966.49365234375,423.5186462402344,976.9024658203125,439.4936828613281,0.3735211193561554
"(97, 'box_1')",946.5001831054688,425.3197021484375,955.989990234375,440.4269104003906,0.4519921839237213
"(98, 'box_1')",942.312255859375,425.16668701171875,952.101806640625,442.1070556640625,0.822098970413208
"(99, 'box_1')",937.386474609375,426.6954345703125,948.3944091796875,446.826416015625,0.5726206302642822
"(103, 'box_1')",920.208984375,437.0223083496094,930.3233642578125,457.3287048339844,0.4265191853046417
"(104, 'box_1')",916.4066772460938,441.41302490234375,926.9575805664062,458.85601806640625,0.5862254500389099
"(113, 'box_1')",922.9019165039062,444.5830993652344,932.3743286132812,460.6736755371094,0.258953720331192
