,frame,box_num,x1,y1,x2,y2,x_center,y_center
0,74,1.0,894.4064331054688,483.4172019958496,911.5899047851562,508.2589454650879,902.9981689453125,495.83807373046875
1,75,1.0,894.3595581054688,468.4584770202637,911.5430297851562,493.30022048950195,902.9512939453125,480.8793487548828
2,76,1.0,894.1390991210938,454.681453704834,911.3225708007812,479.52319717407227,902.7308349609375,467.1023254394531
3,78,2.0,898.8232116699219,430.00844955444336,916.0066833496094,454.85019302368164,907.4149475097656,442.4293212890625
4,79,1.0,896.3953247070312,421.2504081726074,913.5787963867188,446.0921516418457,904.987060546875,433.67127990722656
5,80,1.0,897.1912841796875,411.8044548034668,914.374755859375,436.6461982727051,905.7830200195312,424.22532653808594
6,81,1.0,898.2127380371094,402.2104606628418,915.3962097167969,427.0522041320801,906.8044738769531,414.63133239746094
7,82,1.0,899.2763061523438,394.44253158569336,916.4597778320312,419.28427505493164,907.8680419921875,406.8634033203125
8,85,1.0,907.6403503417969,379.9850425720215,924.8238220214844,404.82678604125977,916.2320861816406,392.4059143066406
9,86,1.0,908.4573974609375,375.388729095459,925.640869140625,400.23047256469727,917.0491333007812,387.8096008300781
10,87,1.0,910.3287353515625,372.162166595459,927.51220703125,397.00391006469727,918.9204711914062,384.5830383300781
11,88,1.0,912.2915954589844,369.58881759643555,929.4750671386719,394.4305610656738,920.8833312988281,382.0096893310547
12,89,1.0,914.425537109375,367.29198837280273,931.6090087890625,392.133731842041,923.0172729492188,379.7128601074219
13,90,1.0,916.7357788085938,367.21242904663086,933.9192504882812,392.05417251586914,925.3275146484375,379.63330078125
14,91,1.0,919.560546875,366.580623626709,936.7440185546875,391.42236709594727,928.1522827148438,379.0014953613281
15,92,1.0,921.2174682617188,366.8327445983887,938.4009399414062,391.67448806762695,929.8092041015625,379.2536163330078
16,96,1.0,935.0703125,375.4091453552246,952.2537841796875,400.2508888244629,943.6620483398438,387.83001708984375
17,97,1.0,937.5263061523438,377.8103904724121,954.7097778320312,402.6521339416504,946.1180419921875,390.23126220703125
18,98,1.0,940.4838256835938,381.88952255249023,957.6672973632812,406.7312660217285,949.0755615234375,394.3103942871094
19,99,1.0,944.2391357421875,387.53063583374023,961.422607421875,412.3723793029785,952.8308715820312,399.9515075683594
20,100,1.0,946.4453735351562,394.6473960876465,963.6288452148438,419.48913955688477,955.037109375,407.0682678222656
21,102,1.0,957.6034545898438,407.528133392334,974.7869262695312,432.36987686157227,966.1951904296875,419.9490051269531
22,103,1.0,960.2873229980469,414.3800621032715,977.4707946777344,439.22180557250977,968.8790588378906,426.8009338378906
23,104,1.0,963.3514099121094,419.96364974975586,980.5348815917969,444.80539321899414,971.9431457519531,432.384521484375
24,77,,895.4876874009741,442.9172089333297,912.6711590806616,467.75895240256796,904.0794232408178,455.3380806679488
25,83,,902.5714312299768,391.53340777250446,919.7549029096643,416.37515124174274,911.1631670698206,403.9542795071236
26,84,,904.2076529379488,385.59704183393285,921.3911246176363,410.43878530317113,912.7993887777925,398.017913568552
27,93,,924.7913334929,365.953188806921,941.9748051725875,390.7949322761593,933.3830693327437,378.37406054154013
28,94,,927.7292630193617,367.52425407282334,944.9127346990492,392.3659975420616,936.3209988592055,379.9451258074425
29,95,,930.7973633276723,369.8460624591731,947.9808350073598,394.68780592841136,939.3890991675161,382.2669341937922
30,101,,951.9395515963652,399.5425183066669,969.1230232760527,424.3842617759052,960.5312874362089,411.96339004128606
