index,frame,x1,y1,x2,y2,x_center,y_center
0,183,615.6490763346354,327.3917622884114,627.0967732747396,342.5915140787761,621.3729248046875,334.99163818359375
1,184,621.3247355143229,322.1233296712239,632.7724324544271,337.3230814615886,627.048583984375,329.72320556640625
2,185,622.9176920572917,316.50067952473955,634.3653889973958,331.7004313151042,628.6415405273438,324.1005554199219
3,186,625.7790812174479,312.7411885579427,637.2267781575521,327.9409403483073,631.5029296875,320.341064453125
4,187,628.4210489908854,310.2610249837239,639.8687459309896,325.4607767740886,634.1448974609375,317.86090087890625
5,188,630.0766886393229,308.1345601399739,641.5243855794271,323.3343119303386,635.800537109375,315.73443603515625
15,189,632.9301106492293,304.996122343146,644.3778075893334,320.19587413351064,638.6539591192814,312.5959982383283
16,190,634.9719976768046,303.6003549744969,646.4196946169087,318.80010676486154,640.6958461468566,311.2002308696792
6,191,637.2882364908854,302.7429585774739,648.7359334309896,317.9427103678386,643.0120849609375,310.34283447265625
7,192,638.2830485026042,302.56635335286455,649.7307454427083,317.7661051432292,644.0068969726562,310.1662292480469
8,193,639.6089152018229,302.5180440266927,651.0566121419271,317.7177958170573,645.332763671875,310.117919921875
9,194,641.5846232096354,303.0186848958333,653.0323201497396,318.21843668619795,647.3084716796875,310.6185607910156
10,195,643.6283854166667,306.7843404134114,655.0760823567708,321.9840922037761,649.3522338867188,314.38421630859375
11,196,644.6419962565104,307.5265279134114,656.0896931966146,322.72627970377596,650.3658447265625,315.1264038085937
12,197,645.6217325846354,309.7175374348958,657.0694295247396,324.91728922526045,651.3455810546875,317.3174133300781
13,198,646.2687052408854,314.9823384602864,657.7164021809896,330.18209025065096,651.9925537109375,322.5822143554687
17,199,647.6699055719672,317.36276877157843,659.1176025120714,332.5625205619431,653.3937540420193,324.96264466676075
18,200,648.6727892787511,321.52745219415056,660.1204862188553,336.7272039845152,654.3966377488032,329.1273280893329
19,201,649.6386766807535,326.16136125889216,661.0863736208577,341.3611130492568,655.3625251508056,333.7612371540745
20,202,650.5797321465706,331.24871061361455,662.0274290866747,346.4484624039792,656.3035806166226,338.84858650879687
21,203,651.5081200448057,336.7737149061618,662.9558169849098,351.97346669652643,657.2319685148577,344.3735908013441
22,204,652.4360047440549,342.72058878435246,663.8837016841591,357.9203405747171,658.159853214107,350.3204646795348
14,205,653.3677042643229,348.9472432454427,664.8154012044271,364.1469950358073,659.091552734375,356.547119140625
23,206,654.3389220199914,355.81680388895666,665.7866189600956,371.0165556793213,660.0627704900435,363.416679784139
24,207,655.3382833338782,362.93457441100736,666.7859802739823,378.134326201372,661.0621318039302,370.5344503061897
25,208,656.3857989231782,370.4110731100195,667.8334958632823,385.61082490038416,662.1096473932303,378.01094900520184
26,209,657.4936331564876,378.2305146337826,668.9413300965917,393.43026642414725,663.2174816265397,385.8303905289649
27,210,658.6739504024098,386.3771136301589,670.1216473425139,401.5768654205235,664.3977988724619,393.9769895253412
28,211,659.9389150295409,394.8350847469487,671.3866119696451,410.03483653731337,665.662763499593,402.43496064213105
