frame,box_num,x1,y1,x2,y2,confidence
0,1,559.9683837890625,217.74169921875,570.001220703125,235.93194580078125,0.03423871099948883
1,1,559.7618408203125,217.69320678710938,569.7537841796875,235.94577026367188,0.03279038518667221
26,1,550.0577392578125,222.67837524414062,560.480224609375,239.55331420898438,0.06269858032464981
27,1,549.787841796875,222.69219970703125,560.233154296875,239.53466796875,0.042674437165260315
28,1,549.5012817382812,222.59689331054688,560.0187377929688,239.39694213867188,0.04059993848204613
29,1,549.2238159179688,222.60446166992188,559.8198852539062,239.42568969726562,0.058082740753889084
71,1,563.7349853515625,220.501220703125,574.3302001953125,237.55233764648438,0.0815710723400116
72,1,564.4146728515625,220.83590698242188,575.0738525390625,237.87698364257812,0.14581912755966187
73,1,565.3580932617188,221.13662719726562,575.9767456054688,238.15982055664062,0.2830597460269928
74,1,565.8048095703125,221.55862426757812,576.2344970703125,238.27627563476562,0.16223126649856567
163,1,529.304443359375,228.588623046875,539.88525390625,245.6591796875,0.05737999454140663
164,1,529.0284423828125,228.07363891601562,539.5716552734375,245.15469360351562,0.05292247235774994
165,1,592.4964599609375,254.78533935546875,601.781982421875,271.34844970703125,0.15017245709896088
166,1,592.1834716796875,254.99374389648438,601.1707763671875,271.9620666503906,0.13202345371246338
167,1,592.8836669921875,254.91259765625,602.1932373046875,271.71685791015625,0.04337767884135246
170,1,592.5162963867188,256.642822265625,601.9489135742188,273.564208984375,0.05377555638551712
171,1,592.7020263671875,257.5111999511719,601.5142822265625,273.7092590332031,0.09339563548564911
172,1,593.2921142578125,258.5792541503906,602.0728759765625,274.2845153808594,0.0853472352027893
173,1,593.9520263671875,260.4219970703125,602.9962158203125,275.6082763671875,0.09847819060087204
174,1,594.7523193359375,261.74981689453125,604.2398681640625,276.36712646484375,0.43740347027778625
175,1,595.5003662109375,262.2763671875,604.7330322265625,276.5380859375,0.6214459538459778
176,1,596.780517578125,264.5000305175781,607.2685546875,279.7225646972656,0.3401523530483246
176,2,607.4456787109375,269.9618835449219,617.5665283203125,286.8290100097656,0.0767243281006813
177,1,608.419677734375,272.8838195800781,617.7421875,290.7425842285156,0.5455964207649231
177,2,597.2410888671875,265.4183044433594,608.1815185546875,280.8862609863281,0.1906493455171585
178,1,596.9239501953125,265.2152404785156,606.4127197265625,279.9540100097656,0.5486045479774475
178,2,609.8551025390625,275.18023681640625,618.2896728515625,292.08770751953125,0.05744396150112152
179,1,597.5366821289062,266.44384765625,606.5452270507812,280.800537109375,0.5269754528999329
179,2,610.2631225585938,276.54620361328125,618.2415161132812,292.37274169921875,0.047334253787994385
180,1,598.1781005859375,267.58984375,607.2127685546875,281.7733154296875,0.23301367461681366
180,2,610.2227172851562,277.3692932128906,618.5730590820312,293.4007263183594,0.11565560102462769
181,1,610.7491455078125,278.4924011230469,619.308837890625,294.9748840332031,0.35101833939552307
181,2,598.785888671875,268.7843322753906,607.89306640625,282.9812927246094,0.08184138685464859
182,1,599.0258178710938,269.006591796875,607.7230834960938,283.7423095703125,0.2789885997772217
183,1,611.9744873046875,253.48614501953125,620.0238037109375,264.793701171875,0.09067842364311218
183,2,599.3521728515625,269.55047607421875,608.2891845703125,284.66558837890625,0.0673428401350975
184,1,613.0955810546875,254.14065551757812,621.2474365234375,265.6579895019531,0.12019359320402145
189,1,615.44189453125,279.5335693359375,622.65576171875,294.35595703125,0.06562182307243347
189,2,599.6461181640625,253.92477416992188,608.8917236328125,268.3293151855469,0.06451743096113205
