,index,frame,x1,y1,x2,y2,x_center,y_center
0,0,182,681.701787726859,376.0062959288516,694.2157952952184,392.99940277089263,687.9587915110387,384.5028493498721
1,1,183,679.5978083208997,369.2941096292743,692.1118158892591,386.28721647131533,685.8548121050794,377.7906630502948
2,2,184,677.5829274414318,362.76122109747575,690.0969350097912,379.75432793951677,683.8399312256115,371.25777451849626
3,3,185,675.6625334471751,356.40647277989774,688.1765410155344,373.39957962193876,681.9195372313548,364.90302620091825
4,4,186,673.8420146968451,350.2287071229848,686.3560222652045,367.22181396502583,680.0990184810248,358.7252605440053
5,5,187,672.1267595491599,344.22676657317606,684.6407671175193,361.2198734152171,678.3837633333396,352.7233199941966
6,6,188,670.5221563628393,338.3994935769206,683.0361639311986,355.3926004189616,676.779160147019,346.8960469979411
7,7,189,669.0335934966001,332.7457305806556,681.5476010649595,349.73883742269663,675.2905972807798,341.2422840016761
8,8,190,667.6664593091591,327.26432003082755,680.1804668775185,344.25742687286856,673.9234630933388,335.76087345184806
9,9,191,666.4261421592341,321.95410437387727,678.9401497275935,338.9472112159183,672.6831459434138,330.4506577948978
10,10,192,665.3180304055431,316.8139260562484,677.8320379739025,333.80703289828944,671.5750341897228,325.3104794772689
11,11,193,664.3475124068077,311.8426275243846,676.8615199751671,328.83573436642564,670.6045161909874,320.33918094540513
12,12,194,663.519976521739,307.0390512247259,676.0339840900983,324.0321580667669,669.7769803059186,315.5356046457464
13,13,195,662.8408111090584,302.40203960371764,675.3548186774178,319.39514644575866,669.0978148932381,310.89859302473815
14,14,196,662.3154045274846,297.9304351078026,674.829412095844,314.92354194984364,668.5724083116643,306.42698852882313
15,15,197,661.9491451357317,293.62308018342355,674.463152704091,310.61618702546457,668.2061489199114,302.11963360444406
16,16,198,661.7474212925249,289.47881727702134,674.2614288608843,306.47192411906235,668.0044250767046,297.97537069804184
17,17,199,661.7156213565722,285.4964888350423,674.2296289249316,302.48959567708334,667.9726251407519,293.99304225606284
18,18,200,661.8591336865984,281.6749373039256,674.3731412549578,298.66804414596663,668.1161374707781,290.1714907249461
19,19,201,662.1833466413182,278.01300513011665,674.6973542096775,295.00611197215767,668.4403504254979,286.50955855113716
20,20,202,662.6936485794495,274.50953476005725,675.2076561478088,291.50264160209827,668.9506523636292,283.00608818107776
21,21,203,663.3954278597143,271.16336864019104,675.9094354280737,288.15647548223205,669.652431643894,279.65992206121155
22,22,204,664.2940728408221,267.97334921695983,676.8080804091815,284.96645605900085,670.5510766250018,276.46990263798034
23,23,205,665.3949718814993,264.93831893680635,677.9089794498586,281.93142577884737,671.651975665679,273.43487235782686
24,24,206,666.7035133404584,262.05712024617515,679.2175209088177,279.05022708821616,672.960517124638,270.55367366719565
