,index,frame,x1,y1,x2,y2,x_center,y_center
0,0,183,618.0210238095734,327.52969765464877,629.3416066081226,342.59704994957065,623.681315208848,335.0633738021097
1,1,184,620.8238772940641,322.02609288896565,632.1444600926133,337.0934451838875,626.4841686933387,329.5597690364266
2,2,185,623.481515939443,317.24696472269716,634.8020987379922,332.31431701761903,629.1418073387176,324.7806408701581
3,3,186,625.9986226998063,313.17629531096463,637.3192054983555,328.2436476058865,631.6589140990809,320.70997145842557
4,4,187,628.3798805292446,309.7980668089185,639.7004633277937,324.8654191038404,634.0401719285192,317.33174295637946
5,5,188,630.6299723818457,307.09626137168743,641.9505551803949,322.1636136666093,636.2902637811203,314.62993751914837
6,6,189,632.7535812117013,305.0548611544,644.0741640102505,320.12221344932186,638.4138726109759,312.5885373018609
7,7,190,634.7553899729093,303.6578483121921,646.0759727714584,318.72520060711395,640.4156813721838,311.191524459653
8,8,191,636.6400816195547,302.8892050001996,647.9606644181039,317.95655729512146,642.3003730188293,310.4228811476605
9,9,192,638.412339105732,302.7329133735657,649.7329219042812,317.80026566848755,644.0726305050066,310.2665895210266
10,10,193,640.0768453855309,303.17295558740443,651.39742818408,318.2403078823263,645.7371367848054,310.70663173486537
11,11,194,641.6382834130474,304.19331379687355,652.9588662115965,319.26066609179543,647.2985748123219,311.7269899443345
12,12,195,643.1013361423685,305.7779701570944,654.4219189409176,320.84532245201626,648.7616275416431,313.3116463045553
13,13,196,644.4706865275858,307.91090682320646,655.791269326135,322.97825911812834,650.1309779268604,315.4445829706674
14,14,197,645.7510175227936,310.576105950342,657.0716003213428,325.6434582452639,651.4113089220682,318.10978209780296
15,15,198,646.9470120820853,313.757549693637,658.2675948806344,328.82490198855885,652.6073034813598,321.2912258410979
16,16,199,648.0633531595478,317.4392202082272,659.3839359580969,332.5065725031491,653.7236445588223,324.97289635568814
17,17,200,649.1047237092763,321.6050996492377,660.4253065078254,336.67245194415955,654.7650151085509,329.1387757966986
18,18,201,650.0758066853551,326.2391701718079,661.3963894839043,341.3065224667298,655.7360980846297,333.77284631926887
19,19,202,650.9812850418876,331.3254139310884,662.3018678404368,346.3927662260103,656.6415764411622,338.85909007854934
20,20,203,651.8258417329581,336.8478130822041,663.1464245315073,351.91516537712596,657.4861331322327,344.381489229665
21,21,204,652.6141597126563,342.7903497802763,663.9347425112054,357.8577020751982,658.2744511119308,350.32402592773724
22,22,205,653.3509219350782,349.1370061804482,664.6715047336273,364.2043584753701,659.0112133343528,356.67068232790916
23,23,206,654.0408113543155,355.8717644378594,665.3613941528646,370.93911673278126,659.70110275359,363.4054405853203
24,24,207,654.6885109244587,362.9786067076275,666.0090937230078,378.04595900254935,660.3488023237333,370.5122828550884
25,25,208,655.2987035995967,370.4415151449175,666.6192863981458,385.5088674398394,660.9589949988713,377.97519129237844
26,26,209,655.8760723338247,378.2444719048435,667.1966551323738,393.3118241997654,661.5363637330993,385.77814805230446
27,27,210,656.4253000812333,386.3714591425487,667.7458828797825,401.4388114374706,662.0855914805079,393.90513529000964
28,28,211,656.951069795915,394.80645901316166,668.2716525944642,409.87381130808353,662.6113611951896,402.3401351606226
