,index,frame,x1,y1,x2,y2,x_center,y_center
0,0,174,593.8994556773793,261.4076357754794,605.0927318226207,276.7093075838956,599.49609375,269.0584716796875
1,1,175,594.5200611461293,261.7563906582919,605.7133372913707,277.0580624667081,600.11669921875,269.4072265625
2,2,176,596.4278980601918,264.46046170321375,607.6211742054332,279.76213351163,602.0245361328125,272.1112976074219
3,3,176,606.9094654430043,270.7446108731356,618.1027415882457,286.0462826815519,612.506103515625,278.39544677734375
4,4,177,607.4842945445668,274.16236600008875,618.6775706898082,289.464037808505,613.0809326171875,281.8132019042969
5,5,177,597.1146656383168,265.5014468106356,608.3079417835582,280.8031186190519,602.7113037109375,273.15228271484375
6,6,178,596.0716968883168,264.9337893399325,607.2649730335582,280.23546114834875,601.6683349609375,272.5846252441406
7,7,178,608.4757496226918,275.9831362637606,619.6690257679332,291.2848080721769,614.0723876953125,283.63397216796875
8,8,179,596.444316517223,265.9713564786044,607.6375926624645,281.2730282870206,602.0409545898438,273.6221923828125
9,9,179,608.6556812633168,276.8086367520419,619.8489574085582,292.1103085604581,614.2523193359375,284.45947265625
10,11,180,608.801250110973,277.7341738614169,619.9945262562145,293.0358456698331,614.3978881835938,285.385009765625
11,10,180,597.0987964976918,267.0307436856356,608.2920726429332,282.3324154940519,602.6954345703125,274.68157958984375
12,12,181,609.432353626598,279.0828066739169,620.6256297718395,294.3844784823331,615.0289916992188,286.733642578125
13,13,181,597.7428394664418,268.2319765957919,608.9361156116832,283.5336484042081,603.3394775390625,275.8828125
14,14,182,597.777812610973,268.7236147793856,608.9710887562145,284.0252865878019,603.3744506835938,276.37445068359375
15,15,183,598.2240406383168,269.4571963223544,609.4173167835582,284.7588681307706,603.8206787109375,277.1080322265625
16,22,184,602.7347949322271,263.83436965448686,613.9280710774686,279.1360414629031,608.3314330048479,271.485205558695
17,23,185,602.0962014559901,263.1480456600131,613.2894776012316,278.44971746842936,607.6928395286109,270.79888156422123
18,24,186,601.2175915246695,262.48185693349865,612.410867669911,277.7835287419149,606.8142295972903,270.13269283770677
19,25,187,600.0989651382666,261.83580347494325,611.2922412835081,277.1374752833595,605.6956032108874,269.48663937915137
20,26,188,598.7403222967793,261.2098852843469,609.9335984420208,276.51155709276316,604.3369603694,268.86072118855503
21,16,189,598.6722828258168,253.47620877352628,609.8655589710582,268.7778805819425,604.2689208984375,261.1270446777344
22,17,190,598.0133472789418,251.70347317782316,609.2066234241832,267.0051449862394,603.6099853515625,259.35430908203125
23,18,191,594.2458912242543,250.2886172207919,605.4391673694957,265.5902890292081,599.842529296875,257.939453125
24,19,192,590.9940601695668,249.67750271883878,602.1873363148082,264.979174527255,596.5906982421875,257.3283386230469
25,27,193,588.3468612630915,258.38232335075224,599.540137408333,273.6839951591685,593.9434993357122,266.03315925496037
26,28,194,585.5481196911043,257.87721676791074,596.7413958363458,273.178888576327,591.144757763725,265.52805267211886
27,29,195,582.509361664033,257.39224545302835,593.7026378092745,272.6939172614446,588.1059997366538,265.0430813572365
28,30,196,579.2305871818786,256.927409406105,590.4238633271201,272.2290812145213,584.8272252544994,264.57824531031315
29,31,197,575.7117962446406,256.48270862714077,586.9050723898821,271.784380435557,581.3084343172613,264.1335445313489
30,32,198,571.952988852319,256.0581431161358,583.1462649975605,271.35981492455204,577.5496269249397,263.7089790203439
31,33,199,567.9541650049142,255.6537128730898,579.1474411501557,270.955384681506,573.550803077535,263.3045487772979
32,20,200,562.164775501598,258.8965884121981,573.3580516468395,274.1982602206144,567.7614135742188,266.54742431640625
33,21,201,559.6630054820668,261.6368838223544,570.8562816273082,276.9385556307706,565.2596435546875,269.2877197265625
