,index,frame,x1,y1,x2,y2,x_center,y_center
0,14,180,523.7665710610742,255.98845522595624,537.8025992418778,272.78962993473135,530.784585151476,264.3890425803438
1,15,181,531.7385513614132,249.33680431495017,545.7745795422169,266.1379790237253,538.756565451815,257.73739166933774
2,16,182,539.6639171342919,243.19304445803468,553.6999453150955,259.9942191668098,546.6819312246937,251.59363181242225
3,17,183,547.5426683797097,237.55717565520976,561.5786965605133,254.3583503639849,554.5606824701115,245.95776300959733
4,18,184,555.374805097667,232.4291979064736,569.4108332784707,249.23037261524874,562.3928191880689,240.82978526086117
5,0,185,562.6776035853794,228.5417420523507,576.7136317661831,245.34291676112585,569.6956176757812,236.94232940673828
6,19,186,570.8992349511997,223.69691557127302,584.9352631320033,240.49809028004816,577.9172490416015,232.0975029256606
7,20,187,578.5915280867754,220.0926109848086,592.627556267579,236.89378569358374,585.6095421771772,228.49319833919617
8,21,188,586.2372066948902,216.99619745243476,600.2732348756939,233.7973721612099,593.2552207852921,225.39678480682232
9,22,189,593.8362707755447,214.4076749741515,607.8722989563483,231.20884968292663,600.8542848659465,222.80826232853906
10,23,190,601.3887203287387,212.32704354995698,615.4247485095424,229.12821825873212,608.4067344191405,220.72763090434455
11,1,191,609.5297154017857,209.80504008701868,623.5657435825893,226.60621479579382,616.5477294921875,218.20562744140625
12,24,192,616.3537758527442,209.68945386384152,630.3898040335479,226.49062857261666,623.371789943146,218.0900412182291
13,2,193,624.3160923549107,208.77156230381556,638.3521205357143,225.5727370125907,631.3341064453125,217.17214965820312
14,3,194,630.8115147181919,209.21306010654993,644.8475428989956,226.01423481532507,637.8295288085938,217.6136474609375
15,4,195,638.6764439174107,209.5793625967843,652.7124720982143,226.38053730555944,645.6944580078125,217.97994995117188
16,5,196,645.5458286830357,210.29808207920618,659.5818568638393,227.09925678798132,652.5638427734375,218.69866943359375
17,6,197,653.2885044642857,211.61827250889368,667.3245326450893,228.41944721766882,660.3065185546875,220.01885986328125
18,7,198,659.4184483119419,213.44218608311243,673.4544764927456,230.24336079188757,666.4364624023438,221.8427734375
19,8,199,667.7830113002232,216.5494553702218,681.8190394810268,233.35063007899694,674.801025390625,224.95004272460938
20,9,200,674.2036655970982,219.72294780186243,688.2396937779018,236.52412251063757,681.2216796875,228.12353515625
21,25,201,681.3891066014681,222.9609074537901,695.4251347822718,239.76208216256524,688.40712069187,231.36149480817767
22,10,202,689.0527256556919,227.50023051670618,703.0887538364956,244.30140522548132,696.0707397460938,235.90081787109375
23,11,203,694.5374058314732,232.01005717686243,708.5734340122768,248.81123188563757,701.555419921875,240.41064453125
24,12,204,701.4677647181919,237.35896464756556,715.5037928989956,254.1601393563407,708.4857788085938,245.75955200195312
25,26,205,709.0817203313692,242.0644986778942,723.1177485121729,258.8656733866693,716.099734421771,250.46508603228176
26,27,206,715.8883374451935,248.1101241191453,729.9243656259972,264.9112988279204,722.9063515355954,256.51071147353287
27,28,207,722.6483400315566,254.66364061448698,736.6843682123603,271.4648153232621,729.6663541219584,263.06422796887455
28,29,208,729.3617280904592,261.72504816391745,743.3977562712629,278.52622287269253,736.3797421808611,270.125635518305
29,30,209,736.028501621901,269.2943467674403,750.0645298027047,286.09552147621537,743.0465157123028,277.6949341218278
30,31,210,742.6486606258824,277.3715364250537,756.684688806686,294.1727111338288,749.6666747162842,285.77212377944124
31,13,211,749.6760777064732,285.2357041495187,763.7121058872768,302.0368788582938,756.694091796875,293.63629150390625
32,32,212,755.749135051463,295.0495889025523,769.7851632322667,311.85076361132735,762.7671491418648,303.4501762569398
