frame,x1,y1,x2,y2,x_center,y_center
203,352.2543115234375,364.48185485839844,368.8863134765625,384.20906311035156,360.5703125,374.345458984375
204,366.7646875,354.75727600097656,383.396689453125,374.4844842529297,375.0806884765625,364.6208801269531
205,382.5433740234375,344.1182989501953,399.1753759765625,363.84550720214844,390.859375,353.9819030761719
206,396.6158837890625,332.90653747558594,413.2478857421875,352.63374572753906,404.931884765625,342.7701416015625
206,398.967080078125,339.6269354248047,415.59908203125,359.3541436767578,407.2830810546875,349.49053955078125
207,408.59095092773435,321.6832403564453,425.2229528808594,341.41044860839844,416.9069519042969,331.5468444824219
208,422.0450830078125,313.1316046142578,438.6770849609375,332.85881286621094,430.361083984375,322.9952087402344
209,433.28342529296873,304.5241522216797,449.91542724609377,324.2513604736328,441.59942626953125,314.38775634765625
210,445.61386962890623,295.18021911621094,462.24587158203127,314.90742736816406,453.92987060546875,305.0438232421875
211,456.78418823242185,287.64176696777344,473.4161901855469,307.36897521972656,465.1001892089844,297.50537109375
212,467.44602294921873,281.24723571777344,484.07802490234377,300.97444396972656,475.76202392578125,291.11083984375
213,477.56223388671873,273.5234197998047,494.19423583984377,293.2506280517578,485.87823486328125,283.38702392578125
214,488.73032470703123,267.35441345214844,505.36232666015627,287.08162170410156,497.04632568359375,277.218017578125
215,497.28247924804685,262.3511785888672,513.9144812011718,282.0783868408203,505.5984802246094,272.21478271484375
216,507.170205078125,255.85593933105469,523.80220703125,275.5831475830078,515.4862060546875,265.71954345703125
217,516.0351953125,251.09885925292969,532.667197265625,270.8260675048828,524.3511962890625,260.96246337890625
218,524.4629296875,245.41288513183594,541.094931640625,265.14009338378906,532.7789306640625,255.2764892578125
219,531.9352807617188,241.57087463378906,548.5672827148437,261.2980828857422,540.2512817382812,251.43447875976562
220,540.4994897460938,237.19773620605469,557.1314916992187,256.9249444580078,548.8154907226562,247.06134033203125
221,547.3580712890625,234.81376403808596,563.9900732421875,254.5409722900391,555.674072265625,244.67736816406253
222,555.4620751953125,231.03251403808594,572.0940771484375,250.75972229003906,563.778076171875,240.8961181640625
223,562.0428247070313,227.64130920410156,578.6748266601562,247.3685174560547,570.3588256835938,237.50491333007812
225,575.9156274414063,224.0443243408203,592.5476293945312,243.77153259277344,584.2316284179688,233.90792846679688
227,587.88919921875,218.465146484375,604.521201171875,238.19235473632813,596.2052001953125,228.32875061035156
228,591.6263818359375,217.8433966064453,608.2583837890625,237.57060485839844,599.9423828125,227.70700073242188
223,562.8021279744307,227.0542963002094,579.4341299275557,246.78150455216252,571.1181289509932,236.91790042618595
225,575.3017888829736,222.70059555967185,591.9337908360985,242.42780381162498,583.6177898595361,232.56419968564842
