frame,x1,y1,x2,y2,x_center,y_center
86,556.1583190917969,411.9681335449219,585.2622131347656,439.1374877929687,570.7102661132812,425.5528106689453
87,576.6393676757813,410.36802062988284,605.74326171875,437.53737487792966,591.1913146972656,423.95269775390625
88,601.1835876464844,409.8356414794922,630.2874816894531,437.00499572753904,615.7355346679688,423.4203186035156
89,624.2530456542969,405.29847106933596,653.3569396972656,432.4678253173828,638.8049926757812,418.8831481933594
90,648.4388671875,402.8139129638672,677.5427612304687,429.98326721191404,662.9908142089844,416.3985900878906
91,669.5393920898438,401.5646148681641,698.6432861328125,428.7339691162109,684.0913391113281,415.1492919921875
92,691.8621459960938,399.92014465332034,720.9660400390625,427.08949890136716,706.4140930175781,413.50482177734375
93,713.6228576660156,398.8119140625,742.7267517089844,425.98126831054685,728.1748046875,412.39659118652344
94,733.50234375,397.7729431152344,762.6062377929687,424.9422973632812,748.0542907714844,411.3576202392578
95,755.2007995605469,397.7265106201172,784.3046936035156,424.89586486816404,769.7527465820312,411.3111877441406
96,774.4474731445313,399.4825836181641,803.5513671875,426.6519378662109,788.9994201660156,413.0672607421875
97,793.4941345214844,399.73288879394534,822.5980285644531,426.90224304199216,808.0460815429688,413.31756591796875
98,813.1243225097656,399.6265045166016,842.2282165527344,426.7958587646484,827.67626953125,413.211181640625
99,831.1470581054688,400.2691131591797,860.2509521484375,427.43846740722654,845.6990051269531,413.8537902832031
100,848.1687561035156,401.52036437988284,877.2726501464844,428.68971862792966,862.720703125,415.10504150390625
85,529.4463305127507,416.52422981681264,558.5502245557194,443.69358406485946,543.9982775342351,430.10890694083605
101,866.5192483419906,403.561187475853,895.6231423849594,430.7305417238998,881.071195363475,417.1458645998764
102,883.5602899740044,405.5992190350529,912.6641840169731,432.7685732830997,898.1122369954887,419.1838961590763
103,900.1276826963332,407.97233550078306,929.2315767393019,435.1416897488299,914.6796297178175,421.5570126248065
104,916.2214265089789,410.68053687304416,945.3253205519476,437.849891121091,930.7733735304632,424.2652139970676
105,931.8415214119406,413.7238231518355,960.9454154549093,440.89317739988235,946.3934684334249,427.30850027585893
106,946.9879674052182,417.1021943371578,976.0918614481869,444.27154858520464,961.5399144267026,430.6868714611812
107,961.6607644888119,420.81565042901036,990.7646585317806,447.9850046770572,976.2127115102962,434.4003275530338
108,975.8599126627206,424.8641914273934,1004.9638067056893,452.0335456754402,990.411859684205,438.4488685514168
109,989.5854119269453,429.24781733230736,1018.689305969914,456.4171715803542,1004.1373589484297,442.8324944563308
