index,frame,x1,y1,x2,y2,x_center,y_center
10,335,534.0530650747853,258.8962169067687,548.3747447622852,276.17678483889756,541.2139049185353,267.53650087283313
11,336,527.2567848901119,261.01507404197184,541.5784645776118,278.2956419741007,534.4176247338619,269.6553580080363
12,337,520.7509106724567,262.8425770844966,535.0725903599566,280.1231450166255,527.9117505162067,271.48286105056104
13,338,514.5354424218197,264.37872603432845,528.8571221093196,281.6592939664573,521.6962822655696,273.0190100003929
14,339,508.61038013820433,265.6235208914783,522.9320598257043,282.90408882360714,515.7712199819543,274.2638048575427
15,340,502.97572382160723,266.57696165594245,517.2974035091072,283.8575295880713,510.13656366535724,275.2172456220069
16,341,497.6314734720319,267.2390483277246,511.95315315953195,284.5196162598535,504.79231331578194,275.87933229378905
17,342,492.5776290894748,267.60978090682113,506.8993087769748,284.89034883895,499.7384689332248,276.25006487288556
18,343,487.8141906739358,267.68915939322835,502.1358703614358,284.9697273253572,494.9750305176858,276.3294433592928
19,344,483.3411582254186,267.47718378695356,497.66283791291863,284.7577517190824,490.5019980691686,276.117467753018
20,345,479.1585317439196,266.97385408799676,493.4802114314196,284.2544220201256,486.3193715876696,275.6141380540612
21,346,475.2663112294387,266.17917029635066,489.58799091693874,283.4597382284795,482.4271510731887,274.8194542624151
22,347,471.66449668197964,265.0931324120189,485.98617636947967,282.3737003441478,478.82533652572965,273.73341637808335
23,348,468.35308810153873,263.7157404350015,482.67476778903875,280.9963083671304,475.51392794528874,272.35602440106595
24,349,465.332085488116,262.0469943653021,479.653765175616,279.327562297431,472.492925331866,270.68727833136654
25,350,462.6014888417114,260.08689420291705,476.9231685292114,277.3674621350459,469.7623286854614,268.7271781689815
26,351,460.1612981623286,257.83543994784634,474.4829778498286,275.1160078799752,467.3221380060786,266.47572391391077
27,352,458.0115134499676,255.29263160008995,472.3331931374676,272.57319953221884,465.1723532937176,263.9329155661544
28,353,456.1521347046211,252.45846915964793,470.47381439212114,269.7390370917768,463.31297454837113,261.0987531257124
29,354,454.5831619263001,249.3329526265239,468.9048416138001,266.6135205586528,461.7440017700501,257.97323659258836
0,355,453.06126708984374,245.67429122924804,467.38294677734376,262.95485916137693,460.22210693359375,254.3145751953125
1,356,452.25523681640624,242.17590866088867,466.57691650390626,259.45647659301756,459.41607666015625,250.81619262695312
2,357,452.22728271484374,238.50461349487304,466.54896240234376,255.78518142700196,459.38812255859375,247.1448974609375
3,358,451.09706420898436,234.5051628112793,465.4187438964844,251.7857307434082,458.2579040527344,243.14544677734375
4,359,450.9718505859375,228.95569381713867,465.2935302734375,246.23626174926758,458.1326904296875,237.59597778320312
5,360,451.66673583984374,224.24131546020507,465.98841552734376,241.521883392334,458.82757568359375,232.88159942626953
6,361,451.25914306640624,219.28027877807617,465.58082275390626,236.56084671020508,458.41998291015625,227.92056274414062
7,362,452.14244384765624,213.56149826049804,466.46412353515626,230.84206619262696,459.30328369140625,222.2017822265625
8,363,453.75755615234374,208.30563888549804,468.07923583984376,225.58620681762696,460.91839599609375,216.9459228515625
9,364,454.9888488769531,202.1238151550293,469.31052856445314,219.4043830871582,462.1496887207031,210.76409912109375
