,index,frame,x1,y1,x2,y2,x_center,y_center
0,8,172,604.4729766845712,245.13649113969808,615.2439727783212,261.5595868428231,609.8584747314462,253.34803899126058
1,9,173,606.6105339413605,248.88405808945413,617.3815300351105,265.30715379257913,611.9960319882355,257.09560594101663
2,10,174,608.7002498081758,252.6988498142518,619.4712459019258,269.1219455173768,614.0857478550508,260.9103976658143
3,11,175,610.7421242850176,256.58086631409134,621.5131203787676,273.00396201721634,616.1276223318926,264.79241416565384
4,12,176,612.7361573718849,260.5301075889726,623.5071534656349,276.9532032920976,618.1216554187599,268.7416554405351
5,13,177,614.6823490687786,264.54657363889567,625.4533451625286,280.96966934202067,620.0678471156536,272.75812149045817
6,14,178,616.580699375698,268.63026446386044,627.351695469448,285.05336016698544,621.966197422573,276.84181231542294
7,15,179,618.4312082926438,272.7811800638668,629.2022043863938,289.2042757669918,623.8167063395188,280.9927279154293
8,16,180,620.2338758196154,276.9993204389151,631.0048719133654,293.4224161420401,625.6193738664904,285.2108682904776
9,17,181,621.9887019566131,281.28468558900516,632.7596980503631,297.70778129213016,627.3742000034881,289.49623344056766
10,18,182,623.695686703637,285.637275514137,634.466682797387,302.060371217262,629.081184750512,293.8488233656995
11,19,183,625.3548300606867,290.0570902143105,636.1258261544367,306.4801859174355,630.7403281075617,298.268638065873
12,20,184,626.9661320277626,294.54412968952585,637.7371281215126,310.96722539265085,632.3516300746376,302.75567754108835
13,21,185,628.5295926048645,299.09839393978274,639.3005886986145,315.52148964290774,633.9150906517395,307.30994179134524
14,22,186,630.0452117919924,303.7198829650815,640.8162078857424,320.1429786682065,635.4307098388674,311.931430816644
15,23,187,631.5129895891464,308.4085967654221,642.2839856828964,324.8316924685471,636.8984876360214,316.6201446169846
16,24,188,632.9329259963265,313.1645353408044,643.7039220900765,329.5876310439294,638.3184240432015,321.3760831923669
17,25,189,634.3050210135325,317.98769869122845,645.0760171072825,334.41079439435345,639.6905190604075,326.19924654279095
18,26,190,635.6292746407646,322.87808681669406,646.4002707345146,339.30118251981906,641.0147726876396,331.08963466825656
19,27,191,636.9056868780228,327.83569971720163,647.6766829717728,344.25879542032663,642.2911849248978,336.04724756876413
20,28,192,638.134257725307,332.8605373927509,648.905253819057,349.2836330958759,643.519755772182,341.0720852443134
21,0,193,639.3627319335938,337.75360107421875,650.1337280273438,354.17669677734375,644.7482299804688,345.96514892578125
22,1,194,640.3787231445312,343.468505859375,651.1497192382812,359.8916015625,645.7642211914062,351.6800537109375
23,2,195,641.54638671875,348.29840087890625,652.3173828125,364.72149658203125,646.931884765625,356.50994873046875
24,3,196,642.8173828125,353.60614013671875,653.58837890625,370.02923583984375,648.202880859375,361.81768798828125
25,4,197,642.9522705078125,358.6103515625,653.7232666015625,375.033447265625,648.3377685546875,366.8218994140625
26,5,198,644.7391357421875,364.9551696777344,655.5101318359375,381.3782653808594,650.1246337890625,373.1667175292969
27,6,199,645.7644653320312,369.5544128417969,656.5354614257812,385.9775085449219,651.1499633789062,377.7659606933594
28,7,200,646.0005493164062,375.5988464355469,656.7715454101562,392.0219421386719,651.3860473632812,383.8103942871094
