frame,box_num,x1,y1,x2,y2,confidence
0,1,567.5833740234375,210.3071746826172,578.8607177734375,227.05384826660156,0.05702890455722809
1,1,567.572265625,210.36065673828125,578.763916015625,227.08367919921875,0.054206810891628265
2,1,567.5664672851562,210.36399841308594,578.7507934570312,227.13002014160156,0.03933754563331604
3,1,567.548583984375,210.04672241210938,578.81787109375,226.94766235351562,0.06596050411462784
4,1,567.5317993164062,209.9793701171875,578.8333129882812,227.02841186523438,0.1265970766544342
5,1,567.5242919921875,209.9810791015625,578.715576171875,226.92132568359375,0.11467819660902023
6,1,567.5122680664062,210.02444458007812,578.6160278320312,226.89462280273438,0.0574006661772728
7,1,567.349609375,209.96884155273438,578.423828125,226.78713989257812,0.05313156545162201
8,1,567.1885986328125,209.50579833984375,578.4195556640625,226.4754638671875,0.12392031401395798
9,1,567.1141967773438,209.49212646484375,578.2776489257812,226.3255615234375,0.12733682990074158
10,1,566.8594970703125,209.08937072753906,577.9117431640625,226.0447540283203,0.3051290810108185
11,1,566.8544921875,208.868408203125,577.848388671875,225.9014892578125,0.3080991208553314
12,1,566.8585205078125,208.91787719726562,577.740234375,225.92568969726562,0.18426990509033203
13,1,566.7598876953125,208.724853515625,577.4949951171875,225.57281494140625,0.03875671699643135
47,1,561.2479248046875,199.8474884033203,572.1468505859375,215.6995391845703,0.08677023649215698
48,1,561.1500244140625,200.27980041503906,573.1492919921875,217.0464630126953,0.18217319250106812
49,1,561.34814453125,201.4425048828125,573.281005859375,219.275146484375,0.03652079403400421
135,1,560.423095703125,213.12066650390625,571.893310546875,230.26812744140625,0.17840443551540375
136,1,560.5609130859375,213.1789093017578,571.976318359375,230.44630432128906,0.4821357727050781
137,1,560.9122314453125,212.8243865966797,572.1357421875,230.00819396972656,0.3846902549266815
138,1,561.5155029296875,211.71932983398438,573.0574951171875,229.42245483398438,0.28267356753349304
139,1,562.2406005859375,211.13409423828125,574.0836181640625,229.215576171875,0.13040804862976074
141,1,564.745849609375,209.97714233398438,576.2509765625,227.51986694335938,0.0769849568605423
163,1,560.6033935546875,197.89637756347656,572.9307861328125,215.70347595214844,0.13690821826457977
164,1,560.8067016601562,199.79507446289062,572.9572143554688,217.69497680664062,0.2942279279232025
165,1,560.943603515625,201.35693359375,572.219970703125,218.71466064453125,0.047979600727558136
166,1,561.572021484375,202.8693084716797,572.4688720703125,220.9440460205078,0.08443329483270645
167,1,561.904541015625,204.7545928955078,572.489990234375,222.5110321044922,0.0468868762254715
168,1,563.1362915039062,208.78256225585938,573.7041625976562,225.52554321289062,0.14231139421463013
169,1,563.60009765625,210.36376953125,574.3994140625,227.2745361328125,0.06119703873991966
171,1,564.3709716796875,213.93545532226562,574.9122314453125,230.91110229492188,0.15135914087295532
172,1,564.533203125,215.73452758789062,574.788818359375,232.36227416992188,0.05111308395862579
173,1,563.7578125,217.3531494140625,574.17333984375,234.5093994140625,0.25483837723731995
174,1,563.102783203125,218.43307495117188,573.6005859375,235.96231079101562,0.1518857330083847
182,1,560.188720703125,227.96600341796875,570.061279296875,244.15069580078125,0.03247300162911415
183,1,559.972412109375,228.5478515625,570.256103515625,245.40936279296875,0.05565120652318001
184,1,560.0906982421875,229.2210235595703,570.3372802734375,245.70697021484375,0.07847373187541962
185,1,560.3455810546875,230.066162109375,570.3853759765625,245.7989501953125,0.042223479598760605
186,1,560.696044921875,231.28514099121094,570.6217041015625,246.455810546875,0.037109360098838806
187,1,560.7061157226562,231.12518310546875,570.8511352539062,246.8792724609375,0.05439051240682602
188,1,560.5987548828125,232.08026123046875,570.7298583984375,247.86993408203125,0.08230037242174149
189,1,560.3623046875,232.6929931640625,570.4036865234375,248.38232421875,0.07002482563257217
190,1,560.068115234375,232.8970947265625,570.164794921875,248.79351806640625,0.16863155364990234
191,1,559.7684326171875,234.19851684570312,569.6737060546875,250.08187866210938,0.04524483531713486
200,1,579.887939453125,195.81236267089844,589.731689453125,210.6295623779297,0.05400947481393814
200,2,615.232177734375,284.2371520996094,623.6876220703125,298.2684631347656,0.03037194535136223
201,1,580.2488403320312,197.08413696289062,590.0455932617188,211.52200317382812,0.06952910870313644
202,1,627.7333984375,277.74835205078125,636.60791015625,293.10394287109375,0.06447198987007141
204,1,609.4833374023438,304.4945983886719,619.0205688476562,321.2305603027344,0.41901594400405884
205,2,627.4115600585938,284.61407470703125,636.1218872070312,299.498291015625,0.04526606574654579
205,1,608.3755493164062,309.8999938964844,618.0248413085938,327.0870056152344,0.3786572813987732
206,1,607.1778564453125,317.2315979003906,616.7901611328125,333.9751281738281,0.336018443107605
