,index,frame,x1,y1,x2,y2,x_center,y_center
0,0,180,606.6082319877846,347.2384996169018,617.4532576225502,361.93220689229236,612.0307448051674,354.58535325459707
1,1,181,608.4816040251444,345.70229413352865,619.3266296599099,360.39600140891923,613.9041168425272,353.04914777122394
2,2,182,610.4133438248114,344.23580460497544,621.2583694595769,358.929511880366,615.8358566421941,351.58265824267073
3,3,183,612.4045348003613,342.85439136231037,623.2495604351268,357.54809863770095,617.827047617744,350.20124500000566
4,4,184,614.4562603653704,341.57341473662166,625.301286000136,356.26712201201224,619.8787731827532,348.92026837431695
5,5,185,616.5696039334141,340.40823505898663,627.4146295681796,355.1019423343772,621.9921167507969,347.7550886966819
6,6,186,618.7456489180686,339.37421266048625,629.5906745528341,354.06791993587683,624.1681617354513,346.72106629818154
7,7,187,620.9854787329093,338.48670787219055,631.8305043676748,353.18041514758113,626.4079915502921,345.83356150988584
8,8,188,623.290176791513,337.7610810251932,634.1352024262785,352.4547883005838,628.7126896088957,345.1079346628885
9,9,189,625.6608265074544,337.21269245055885,636.50585214222,351.9063997259494,631.0833393248372,344.55954608825414
10,10,190,628.0985112943102,336.85690247937566,638.9435369290758,351.55060975476624,633.521024111693,344.20375611707095
11,11,191,630.6043145656558,336.70907144271007,641.4493402004214,351.40277871810065,636.0268273830386,344.05592508040536
12,12,192,633.1793197350673,336.7845596716612,644.0243453698329,351.4782669470518,638.6018325524501,344.1314133093565
13,13,193,635.8246102161208,337.0987274972937,646.6696358508864,351.79243477268426,641.2471230335036,344.44558113498897
14,14,194,638.5412694223917,337.6669352506884,649.3862950571572,352.360642526079,643.9637822397744,345.0137888883837
15,15,195,641.3303807674561,338.5045432629246,652.1754064022216,353.19825053831516,646.7528935848388,345.8513969006199
16,16,196,644.1930276648898,339.62691186508494,655.0380532996553,354.3206191404755,649.6155404822725,346.9737655027802
17,17,197,647.1302935282687,341.0494013882377,657.9753191630342,355.7431086636283,652.5528063456514,348.396255025933
18,18,198,650.1432617711685,342.78737216347474,660.988287405934,357.4810794388653,655.5657745885512,350.13422580117003
19,19,199,653.2330158071654,344.85618452187157,664.078041441931,359.54989179726215,658.6555286245482,352.20303815956686
20,20,200,656.400639049835,347.2711987944982,667.2456646846006,361.9649060698888,661.8231518672178,354.6180524321935
21,21,201,659.6472149127535,350.04777531244656,670.492240547519,364.74148258783714,665.0697277301363,357.39462895014185
22,22,202,662.9738268094964,353.2012744067848,673.8188524442619,367.8949816821754,668.3963396268791,360.5481280444801
23,23,203,666.3815581536396,356.74705640860304,677.2265837884052,371.4407636839936,671.8040709710224,364.09391004629833
24,24,204,669.871492358759,360.700481648964,680.7165179935246,375.3941889243546,675.2940051761418,368.0473352866593
