,index,frame,x1,y1,x2,y2,x_center,y_center
0,0,183,562.6070653148205,319.0104369415304,575.4354775390851,335.7734661522381,569.0212714269528,327.39195154688423
1,1,184,567.1387144673523,312.2465486529464,579.967126691617,329.0095778636541,573.5529205794846,320.62806325830024
2,2,185,571.6415239738277,305.8343657552023,584.4699361980923,322.59739496591004,578.05573008596,314.2158803605562
3,3,186,576.110255245048,299.75608921362715,588.9386674693127,316.51911842433486,582.5244613571804,308.137603818981
4,4,187,580.5396696918111,293.99391999358255,593.3680819160758,310.75694920429027,586.9538758039434,302.3754345989364
5,5,188,584.9245287249165,288.53005906042296,597.7529409491812,305.29308827113067,591.3387348370488,296.9115736657768
6,6,189,589.2595937551656,283.34670737948096,602.0880059794302,300.1097365901887,595.6737998672979,291.7282219848348
7,7,190,593.5396261933557,278.42606591613645,606.3680384176204,295.18909512684417,599.953832305488,286.8075805214903
8,8,191,597.7593874502819,273.75033563572566,610.5877996745465,290.5133648464334,604.1735935624142,282.1318502410795
9,9,192,601.9136389367455,269.30171750359574,614.7420511610102,286.06474671430345,608.3278450488779,277.6832321089496
10,10,193,605.9971420635458,265.062412485112,618.8255542878104,281.82544169581973,612.4113481756781,273.4439270904659
11,11,194,610.0046582414853,261.014621545618,622.83307046575,277.7776507563257,616.4188643536177,269.39613615097187
12,12,195,613.9309488813566,257.1405456504827,626.7593611056212,273.9035748611904,620.3451549934889,265.52206025583655
13,13,196,617.7707753939623,253.42238576501683,630.5991876182269,270.18541497572454,624.1849815060946,261.8039003703707
14,14,197,621.5188991900997,249.84234285462577,634.3473114143643,266.6053720653335,627.933105302232,258.2238574599796
15,15,198,625.1700816805666,246.3826178846203,637.9984939048312,263.145647095328,631.5842877926989,254.76413248997414
16,16,199,628.7190842761648,243.02541182036936,641.5474965004295,259.78844103107707,635.1332903882972,251.4069264257232
17,17,200,632.160668387694,239.75292562723467,644.9890806119587,256.5159548379424,638.5748744998264,248.13444023258853
18,18,201,635.489595425951,236.54736027053792,648.3180076502157,253.31038948124564,641.9038015380834,244.92887487589178
19,19,202,638.7006268017318,233.3909167156699,651.5290390259964,250.15394592637762,645.1148329138641,241.77243132102376
20,20,203,641.7885239258391,230.26579592794866,654.6169361501037,247.02882513865637,648.2027300379714,238.64731053330252
21,21,204,644.7480482090701,227.15419887274317,657.5764604333348,243.91722808345088,651.1622543212025,235.53571347809702
22,22,205,647.5739610622242,224.03832651540057,660.4023732864888,240.80135572610828,653.9881671743565,232.41984112075443
23,23,206,650.261023896103,220.90037982127893,663.0894361203676,237.66340903198665,656.6752300082353,229.2818944266328
24,24,207,652.803998121503,217.7225597557363,665.6324103457677,234.48558896644403,659.2182042336353,226.10407436109017
25,25,208,655.1976451492206,214.48706728409803,668.0260573734853,231.25009649480575,661.611851261353,222.8685818894519
26,26,209,657.4367263900568,211.17610337174034,670.2651386143215,227.93913258244805,663.8509325021892,219.5576179770942
