                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5213,                 4.6862,                0.99359,                0.65889,                0.48128,                0.49788,                0.16288,                 2.4359,                 1.9114,                0.90591,                0.07014,              0.0033178,              0.0033178
                      1,                 2.3537,                 2.0216,                0.93075,                0.57324,                0.53368,                0.52983,                0.22305,                 2.1254,                 1.8845,                0.88608,               0.040096,              0.0066072,              0.0066072
                      2,                 2.3649,                 1.9369,                0.93672,                0.61098,                0.54882,                0.58124,                  0.201,                 2.2903,                 4.5311,                0.89955,               0.010008,              0.0098526,              0.0098526
                      3,                 2.2896,                 1.8327,                0.92777,                0.67134,                0.55219,                0.61956,                 0.2082,                  2.255,                 3.3891,                0.88488,               0.009802,               0.009802,               0.009802
                      4,                 2.1757,                 1.6703,                0.91261,                0.77292,                0.60741,                 0.6936,                0.28475,                 2.0794,                 1.8591,                0.89255,               0.009802,               0.009802,               0.009802
                      5,                 2.0778,                 1.5512,                0.90537,                0.80037,                0.60943,                0.72853,                0.35443,                 1.8319,                 1.2751,                0.86504,               0.009736,               0.009736,               0.009736
                      6,                 2.0022,                 1.4853,                0.89759,                 0.7531,                0.72727,                0.78127,                0.33579,                 1.9557,                  1.495,                 0.8695,                0.00967,                0.00967,                0.00967
                      7,                 1.9437,                 1.3685,                0.89555,                0.86847,                0.68918,                0.82815,                0.40029,                 1.8298,                 1.1271,                0.85561,               0.009604,               0.009604,               0.009604
                      8,                 1.8593,                  1.276,                0.87418,                0.73243,                0.68204,                0.75148,                0.37793,                 1.8211,                 1.2444,                0.86476,               0.009538,               0.009538,               0.009538
                      9,                 1.8374,                  1.264,                0.87924,                0.87183,                0.68687,                 0.8167,                0.39779,                 1.8188,                 1.1646,                0.86137,               0.009472,               0.009472,               0.009472
                     10,                 1.8387,                 1.2022,                0.87621,                0.78507,                0.76253,                 0.8376,                0.43403,                 1.7072,                 1.0252,                0.85468,               0.009406,               0.009406,               0.009406
                     11,                 1.7814,                  1.146,                0.86091,                0.83542,                0.78617,                0.86251,                 0.4339,                 1.6688,                 1.0365,                0.84117,                0.00934,                0.00934,                0.00934
                     12,                 1.7358,                 1.1006,                0.87175,                0.84543,                0.82875,                0.88238,                0.47571,                 1.6729,                0.94915,                0.84458,               0.009274,               0.009274,               0.009274
                     13,                 1.6991,                 1.1028,                0.86138,                0.88028,                0.79798,                 0.8885,                0.46987,                 1.6792,                0.89243,                0.84188,               0.009208,               0.009208,               0.009208
                     14,                  1.701,                 1.0636,                0.85398,                0.87632,                0.83497,                 0.9044,                0.49561,                 1.5566,                0.82467,                0.83038,               0.009142,               0.009142,               0.009142
                     15,                 1.6342,                0.98215,                0.85497,                0.83177,                0.83838,                0.90025,                0.50896,                 1.5752,                0.83047,                0.83603,               0.009076,               0.009076,               0.009076
                     16,                 1.7095,                 1.0075,                0.85896,                0.86651,                0.80471,                0.89973,                0.46387,                 1.6617,                0.84628,                 0.8335,                0.00901,                0.00901,                0.00901
                     17,                  1.639,                0.97027,                0.84967,                0.85608,                0.83838,                0.90518,                0.51275,                 1.4785,                 0.8064,                0.82743,               0.008944,               0.008944,               0.008944
                     18,                 1.6277,                0.93986,                0.86052,                0.87834,                0.85082,                0.91532,                0.53508,                 1.4822,                 0.7174,                0.83286,               0.008878,               0.008878,               0.008878
                     19,                 1.5847,                0.93592,                0.84309,                0.86365,                0.84512,                0.89972,                0.46113,                 1.6126,                 0.8057,                0.82388,               0.008812,               0.008812,               0.008812
                     20,                 1.6005,                0.91449,                 0.8447,                0.92386,                0.81481,                0.92389,                0.52737,                 1.5317,                0.74566,                0.82437,               0.008746,               0.008746,               0.008746
                     21,                 1.6024,                0.93251,                 0.8514,                0.90871,                0.82828,                0.92084,                0.51123,                 1.5713,                 0.7391,                0.83026,                0.00868,                0.00868,                0.00868
                     22,                 1.5553,                 0.8914,                 0.8436,                 0.8755,                0.85241,                0.91271,                0.51754,                 1.6199,                0.83547,                0.84253,               0.008614,               0.008614,               0.008614
                     23,                 1.5333,                0.86655,                0.83807,                0.89449,                0.86869,                 0.9219,                0.53955,                 1.4848,                0.73763,                0.82826,               0.008548,               0.008548,               0.008548
                     24,                 1.5353,                0.84296,                0.85117,                0.89784,                0.87879,                 0.9409,                0.55773,                 1.4886,                0.66724,                0.82475,               0.008482,               0.008482,               0.008482
                     25,                 1.5148,                0.84806,                0.83952,                0.89287,                0.80471,                0.90638,                0.52455,                 1.5075,                0.75618,                0.83145,               0.008416,               0.008416,               0.008416
                     26,                  1.482,                0.80123,                0.83796,                0.92573,                0.83931,                0.92985,                0.56541,                 1.4262,                 0.6585,                0.82791,                0.00835,                0.00835,                0.00835
                     27,                  1.503,                0.80618,                0.84826,                0.89956,                0.88215,                0.93345,                0.56794,                 1.4683,                0.64959,                0.82843,               0.008284,               0.008284,               0.008284
                     28,                 1.4909,                0.80414,                0.83723,                0.92353,                0.86195,                0.94767,                0.57509,                 1.4351,                 0.6628,                 0.8206,               0.008218,               0.008218,               0.008218
                     29,                  1.461,                0.79249,                0.83114,                0.91442,                0.86341,                0.93394,                0.54922,                 1.4214,                0.64138,                0.82825,               0.008152,               0.008152,               0.008152
                     30,                  1.462,                0.80325,                0.83706,                0.91894,                0.86869,                0.93888,                0.58686,                 1.3855,                 0.6699,                0.82919,               0.008086,               0.008086,               0.008086
                     31,                 1.4606,                0.79852,                0.83537,                0.89325,                0.88889,                0.92512,                0.55352,                 1.3824,                0.67066,                0.81943,                0.00802,                0.00802,                0.00802
                     32,                 1.4785,                0.77803,                0.83283,                0.91077,                0.87542,                0.92497,                0.54986,                 1.4361,                0.71364,                0.83143,               0.007954,               0.007954,               0.007954
                     33,                 1.4487,                0.78514,                 0.8287,                0.93159,                0.87879,                0.93692,                0.56184,                 1.3319,                 0.6131,                0.81155,               0.007888,               0.007888,               0.007888
                     34,                 1.4404,                 0.7577,                0.83634,                0.93199,                 0.8766,                0.94296,                0.57312,                 1.4063,                0.65622,                0.81546,               0.007822,               0.007822,               0.007822
                     35,                 1.4439,                0.73268,                 0.8346,                0.93372,                0.89226,                0.94812,                0.57787,                 1.4099,                0.60827,                0.81804,               0.007756,               0.007756,               0.007756
                     36,                 1.4074,                0.74808,                0.83262,                0.91457,                0.90113,                0.94496,                 0.5867,                 1.3842,                0.60042,                0.81984,                0.00769,                0.00769,                0.00769
                     37,                 1.4186,                0.71687,                0.83684,                0.90974,                0.87879,                0.93468,                0.57769,                 1.3143,                0.64566,                0.81161,               0.007624,               0.007624,               0.007624
                     38,                 1.3933,                0.74468,                0.82629,                0.92346,                0.89367,                0.94888,                0.59131,                  1.345,                0.59451,                0.81615,               0.007558,               0.007558,               0.007558
                     39,                 1.4115,                0.70581,                0.82718,                0.88787,                0.88552,                0.93723,                0.57933,                 1.3713,                0.63653,                0.81474,               0.007492,               0.007492,               0.007492
                     40,                 1.3886,                0.72158,                0.82743,                0.92986,                0.90236,                0.94571,                0.58877,                 1.3375,                0.61422,                0.81378,               0.007426,               0.007426,               0.007426
                     41,                 1.3796,                0.69774,                0.83002,                0.94436,                0.89226,                 0.9474,                0.59335,                 1.3803,                0.59666,                0.82365,                0.00736,                0.00736,                0.00736
