                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3748,                0.63995,                 0.8281,                0.96429,                0.86111,                 0.9408,                0.58711,                 1.3425,                0.59015,                0.79614,                0.00769,                0.00769,                0.00769
                     37,                 1.3297,                0.60359,                0.81198,                0.92176,                0.87268,                0.91388,                0.55254,                 1.3303,                0.66654,                0.80016,               0.007624,               0.007624,               0.007624
                     38,                 1.4024,                0.64919,                0.83638,                0.92997,                0.86074,                0.92076,                0.55977,                 1.3976,                0.68585,                0.80726,               0.007558,               0.007558,               0.007558
                     39,                  1.349,                0.60263,                0.82346,                0.97672,                0.83333,                0.90734,                0.52251,                 1.4876,                0.70303,                0.80916,               0.007492,               0.007492,               0.007492
                     40,                 1.4107,                0.66072,                0.83098,                0.96245,                0.87037,                0.94095,                0.60817,                 1.2889,                0.66705,                0.79421,               0.007426,               0.007426,               0.007426
                     41,                 1.3783,                0.64417,                0.82556,                0.96828,                0.84793,                0.91432,                0.57564,                 1.3404,                0.68154,                0.80429,                0.00736,                0.00736,                0.00736
                     42,                 1.3519,                0.60539,                0.82866,                0.93737,                0.87037,                0.93458,                 0.6204,                 1.2739,                0.77054,                0.80133,               0.007294,               0.007294,               0.007294
                     43,                 1.3475,                0.61512,                0.81891,                0.86289,                0.81583,                0.89263,                0.56453,                 1.3038,                 0.7424,                0.79846,               0.007228,               0.007228,               0.007228
                     44,                 1.3679,                0.62908,                0.82518,                0.91857,                0.83562,                0.91553,                0.59645,                 1.2331,                0.67615,                0.80435,               0.007162,               0.007162,               0.007162
                     45,                  1.324,                0.61384,                0.82128,                0.94568,                0.84259,                0.93193,                0.60391,                  1.248,                0.62751,                0.79519,               0.007096,               0.007096,               0.007096
                     46,                 1.3409,                0.62541,                0.82417,                0.97482,                0.84259,                0.92464,                0.59792,                 1.2989,                0.67302,                0.80614,                0.00703,                0.00703,                0.00703
                     47,                 1.2846,                0.63186,                0.81424,                0.91118,                0.84259,                0.93866,                0.58402,                 1.3544,                0.66135,                 0.7977,               0.006964,               0.006964,               0.006964
                     48,                 1.3099,                0.60544,                0.80993,                 0.9394,                0.86123,                 0.9504,                 0.5953,                 1.3343,                0.73091,                0.79718,               0.006898,               0.006898,               0.006898
                     49,                 1.2934,                 0.6013,                0.82018,                0.93746,                0.83282,                0.92902,                 0.5902,                 1.3727,                0.66618,                0.80036,               0.006832,               0.006832,               0.006832
                     50,                 1.3128,                0.60558,                0.82106,                0.95804,                0.84576,                0.93807,                0.57607,                 1.3965,                0.67308,                0.80082,               0.006766,               0.006766,               0.006766
                     51,                 1.3008,                0.58578,                 0.8156,                 0.9003,                0.84259,                0.91369,                0.59544,                 1.3158,                0.63147,                0.79801,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.3565,                 0.6092,                0.81895,                0.90445,                0.85185,                0.91161,                0.59811,                 1.2546,                0.63088,                0.79121,               0.006634,               0.006634,               0.006634
